Year4,Year4ET,Year3,Year3ET,Year2,Year2ET,Year1,Year1ET,Average
2018-10-15,0.2,2019-10-15,0.12,2020-10-14,0.25,2021-10-15,0.12,0.1725
2018-10-16,0.19,2019-10-16,0.11,2020-10-15,0.31,2021-10-16,0.12,0.1825
2018-10-17,0.11,2019-10-17,0.13,2020-10-16,0.26,2021-10-17,0.12,0.155
2018-10-18,0.11,2019-10-18,0.1,2020-10-17,0.18,2021-10-18,0.05,0.11
2018-10-19,0.11,2019-10-19,0.08,2020-10-18,0.15,2021-10-19,0.09,0.1075
2018-10-20,0.12,2019-10-20,0.12,2020-10-19,0.13,2021-10-20,0,0.0925
2018-10-21,0.11,2019-10-21,0.18,2020-10-20,0.22,2021-10-21,0.01,0.13
2018-10-22,0.11,2019-10-22,0.18,2020-10-21,0.2,2021-10-22,0.08,0.1425
2018-10-23,0.07,2019-10-23,0.24,2020-10-22,0.29,2021-10-23,0.01,0.1525
2018-10-24,0.08,2019-10-24,0.21,2020-10-23,0.16,2021-10-24,0,0.1125
2018-10-25,0.11,2019-10-25,0.11,2020-10-24,0.09,2021-10-25,0.08,0.0975
2018-10-26,0.09,2019-10-26,0.2,2020-10-25,0.2,2021-10-26,0.05,0.135
2018-10-27,0.1,2019-10-27,0.22,2020-10-26,0.16,2021-10-27,0.07,0.1375
2018-10-28,0.06,2019-10-28,0.12,2020-10-27,0.15,2021-10-28,0.09,0.105
2018-10-29,0.12,2019-10-29,0.18,2020-10-28,0.09,2021-10-29,0.07,0.115
2018-10-30,0.14,2019-10-30,0.13,2020-10-29,0.09,2021-10-30,0.07,0.1075
2018-10-31,0.16,2019-10-31,0.1,2020-10-30,0.09,2021-10-31,0.05,0.1
2018-11-01,0.14,2019-11-01,0.09,2020-10-31,0.1,2021-11-01,0.02,0.0875
2018-11-02,0.11,2019-11-02,0.1,2020-11-01,0.09,2021-11-02,0.07,0.0925
2018-11-03,0.2,2019-11-03,0.09,2020-11-02,0.1,2021-11-03,0.08,0.1175
2018-11-04,0.12,2019-11-04,0.09,2020-11-03,0.09,2021-11-04,0.1,0.1
2018-11-05,0.17,2019-11-05,0.09,2020-11-04,0.09,2021-11-05,0.01,0.09
2018-11-06,0.18,2019-11-06,0.09,2020-11-05,0.1,2021-11-06,0.02,0.0975
2018-11-07,0.17,2019-11-07,0.08,2020-11-06,0.13,2021-11-07,0.08,0.115
2018-11-08,0.2,2019-11-08,0.09,2020-11-07,0.07,2021-11-08,0.04,0.1
2018-11-09,0.1,2019-11-09,0.08,2020-11-08,0.14,2021-11-09,0,0.08
2018-11-10,0.11,2019-11-10,0.09,2020-11-09,0.11,2021-11-10,0.03,0.085
2018-11-11,0.16,2019-11-11,0.12,2020-11-10,0.07,2021-11-11,0.08,0.1075
2018-11-12,0.11,2019-11-12,0.07,2020-11-11,0.07,2021-11-12,0.02,0.0675
2018-11-13,0.04,2019-11-13,0.06,2020-11-12,0.06,2021-11-13,0.05,0.0525
2018-11-14,0.05,2019-11-14,0.07,2020-11-13,0.04,2021-11-14,0.03,0.0475
2018-11-15,0.06,2019-11-15,0.08,2020-11-14,0.04,2021-11-15,0,0.045
2018-11-16,0.05,2019-11-16,0.11,2020-11-15,0.06,2021-11-16,0.1,0.08
2018-11-17,0.04,2019-11-17,0.07,2020-11-16,0.07,2021-11-17,0.07,0.0625
2018-11-18,0.05,2019-11-18,0.08,2020-11-17,0.01,2021-11-18,0,0.035
2018-11-19,0.07,2019-11-19,0.14,2020-11-18,0.07,2021-11-19,0.01,0.0725
2018-11-20,0.06,2019-11-20,0.23,2020-11-19,0.08,2021-11-20,0.1,0.1175
2018-11-21,0,2019-11-21,0.08,2020-11-20,0.1,2021-11-21,0.09,0.0675
2018-11-22,0.04,2019-11-22,0.07,2020-11-21,0.11,2021-11-22,0.06,0.07
2018-11-23,0,2019-11-23,0.09,2020-11-22,0.05,2021-11-23,0.09,0.0575
2018-11-24,0.06,2019-11-24,0.06,2020-11-23,0.08,2021-11-24,0.1,0.075
2018-11-25,0.07,2019-11-25,0.12,2020-11-24,0.08,2021-11-25,0.05,0.08
2018-11-26,0.02,2019-11-26,0.02,2020-11-25,0.09,2021-11-26,0.06,0.0475
2018-11-27,0,2019-11-27,0.04,2020-11-26,0.1,2021-11-27,0.06,0.05
2018-11-28,0.01,2019-11-28,0.04,2020-11-27,0.08,2021-11-28,0.06,0.0475
2018-11-29,0,2019-11-29,0.04,2020-11-28,0.07,2021-11-29,0.06,0.0425
2018-11-30,0.04,2019-11-30,0,2020-11-29,0.05,2021-11-30,0.07,0.04
2018-12-01,0.05,2019-12-01,0,2020-11-30,0.06,2021-12-01,0.07,0.045
2018-12-02,0.05,2019-12-02,0.02,2020-12-01,0.11,2021-12-02,0.06,0.06
2018-12-03,0.04,2019-12-03,0.08,2020-12-02,0.09,2021-12-03,0.05,0.065
2018-12-04,0.06,2019-12-04,0.07,2020-12-03,0.05,2021-12-04,0.05,0.0575
2018-12-05,0.02,2019-12-05,0.05,2020-12-04,0.08,2021-12-05,0.04,0.0475
2018-12-06,0.07,2019-12-06,0.08,2020-12-05,0.04,2021-12-06,0,0.0475
2018-12-07,0.04,2019-12-07,0.11,2020-12-06,0.11,2021-12-07,0.05,0.0775
2018-12-08,0.06,2019-12-08,0.07,2020-12-07,0.15,2021-12-08,0,0.07
2018-12-09,0.02,2019-12-09,0.05,2020-12-08,0.09,2021-12-09,0.07,0.0575
2018-12-10,0.07,2019-12-10,0.04,2020-12-09,0.11,2021-12-10,0.06,0.07
2018-12-11,0.06,2019-12-11,0.04,2020-12-10,0.1,2021-12-11,0.01,0.0525
2018-12-12,0.08,2019-12-12,0.04,2020-12-11,0.03,2021-12-12,0,0.0375
2018-12-13,0.05,2019-12-13,0.07,2020-12-12,0.05,2021-12-13,0.01,0.045
2018-12-14,0.03,2019-12-14,0.05,2020-12-13,0,2021-12-14,0.03,0.0275
2018-12-15,0,2019-12-15,0.04,2020-12-14,0.06,2021-12-15,0.01,0.0275
2018-12-16,0,2019-12-16,0.06,2020-12-15,0.03,2021-12-16,0.01,0.025
2018-12-17,0.03,2019-12-17,0.04,2020-12-16,0.01,2021-12-17,0.04,0.03
2018-12-18,0.03,2019-12-18,0.05,2020-12-17,0.06,2021-12-18,0.03,0.0425
2018-12-19,0.05,2019-12-19,0.04,2020-12-18,0.07,2021-12-19,0,0.04
2018-12-20,0,2019-12-20,0.04,2020-12-19,0.04,2021-12-20,0.02,0.025
2018-12-21,0.04,2019-12-21,0.06,2020-12-20,0.03,2021-12-21,0.01,0.035
2018-12-22,0.03,2019-12-22,0.06,2020-12-21,0.04,2021-12-22,0,0.0325
2018-12-23,0,2019-12-23,0.07,2020-12-22,0.09,2021-12-23,0,0.04
2018-12-24,0,2019-12-24,0.04,2020-12-23,0.11,2021-12-24,0.06,0.0525
2018-12-25,0.08,2019-12-25,0.05,2020-12-24,0.04,2021-12-25,0.02,0.0475
2018-12-26,0.06,2019-12-26,0.07,2020-12-25,0,2021-12-26,0.03,0.04
2018-12-27,0.08,2019-12-27,0.06,2020-12-26,0.04,2021-12-27,0.05,0.0575
2018-12-28,0.09,2019-12-28,0.05,2020-12-27,0.04,2021-12-28,0.01,0.0475
2018-12-29,0.06,2019-12-29,0.05,2020-12-28,0.04,2021-12-29,0.01,0.04
2018-12-30,0.05,2019-12-30,0.09,2020-12-29,0.08,2021-12-30,0.02,0.06
2018-12-31,0.11,2019-12-31,0.06,2020-12-30,0.04,2021-12-31,0.04,0.0625
